p_productImg,p_productName,p_price
c6ec13f2-aa28-471d-b663-be8a0ad7df51.jpg,Triol (Триол) - Поилка для грызунов B2-250 ML,2 000 
32ab32d0-ac53-4df5-93f0-86ed1586000b.jpg,Haoyu (Хаою) - Силикагелевый Наполнитель - Цветные гранулы (развес),Нет в наличии
bc700895-cc05-4660-8fb2-d64d066e6535.jpg,"Sima (Сима) - Ролик для чистки одежды, 18х19х6,5 см",1 400 
605129bc-a5ce-42a2-a5dc-1b8b84898da4.jpg,Triol (Триол) - Игрушка «Трекбол» открытый для кошек Р1108-1,4 000 
225f7872-2118-4810-9ca4-2749ff460ffd.jpg,"Edel cat (Эдель Кэт) - Крем-суп со вкумом птица-печень, 1 шт",250 
0c80691b-d743-49ac-8956-9e9fd7d81c60.jpg,"Ешка - Корм для всех животных и птиц, пшеница , 500 г",450 
a07d9d0e-cf67-4630-8815-cc5f6d296048.jpg,"Whiskas (Вискас) - Влажный корм для кошек паштет с уткой, пауч 85 г",130 
2473ab36-2089-4375-bed2-721249f6fa52.jpg,"Sheba (Шеба) - Влажный корм для кошек с курицей и индейкой в соусе, пауч 85 г",185 
8e4c44e1-8920-46f0-b4e5-c9fbc8c21f49.jpg,"Triol (Триол) - Мышь сизаль с пером, Игрушка для кошек, 14 см",500 
5b36fe6a-2424-4381-bfa8-f177524f7568.jpg,Каскад - Ошейник №35 кожаный с синтепоном,2 100 
48349750-7bc2-4e56-93e8-8a57956a35f3.jpg,Биовакс - Ошейник для кошек 35 см,900 
aad68107-0877-4f47-a031-60833ce53f0a.jpg,TiTBit (ТитБит) - Корень бычий догодент 2,1 800 
c29a6bff-393c-4531-ab39-395991fa465e.jpg,"Royal Canin (Роял Канин) - C.C. Club, корм для взрослых собак (развес)",1 500 
65a9643d-2dc2-4ae6-b783-327e8c5f3c12.jpg,Дарэлл - Сумка-переноска ЧИП - Туннель №1,3 800 
b57bfa8c-739a-4870-bae5-cede76a6605c.jpg,"Whiskas (Вискас) - Влажный корм для кошек рагу с говядиной и овощами, пауч 85 г",130 
04a925c6-8797-4933-ab0c-a2a61c35a9cd.jpg,Каскад - Ошейник №35 кожаный двойной без украшений,3 500 
ee89cc16-914a-41a2-8f7a-de695ec28bf8.jpg,"Мнямс - Лакомство Палочка для кошек цыпленок и печень, 3 шт",500 
f1a44d61-5466-42de-af7a-2fbc9228d90d.jpg,Вака - Поводок капроновый 30 мм 3 м,1 500 
0e851965-7fe1-4834-bc2a-44e926688b2a.jpg,"Анандин - Ушные капли для кошек и собак, 5 мл",900 
aa5115b5-99bf-41ad-a2a6-35274dd84cac.jpg,"Биовакс - Шампунь для кошек длинношерстных, 355 мл",1 000 
78cc7752-47ad-4289-8200-fc3f788f94c2.jpg,"Triol (Триол) - Мяч радужный для кошек, 4 см",250 
64726ae2-a104-44eb-b916-08d569d60d82.jpg,"Edel cat (Эдель Кэт) - Колбаски лосось + форель, 1 шт",220 
